secs,gens,bestfitness,meanfitness,maxcomplexity,meancomplexity,evalcount
60.001000000000005,2785,1966.79498,1801.25345,0,126.85,1337538
59.998000000000005,2565,1935.334,1809.94244,0,122.31833,1231954
59.996,2630,1990.61821,1867.95075,0,130.49167,1263160
59.998000000000005,2912,1970.43072,1892.24801,0,136.70333,1398474
59.99,2503,1977.66775,1862.06734,0,125.43,1202168
59.991,2764,1945.41808,1795.93065,0,118.54667,1327341
59.99,2789,1980.8922,1782.55791,0,112.74333,1339403
59.991,2338,2015.93054,1878.49699,0,143.37833,1122842
60.002,2753,1947.51746,1762.91384,0,124.845,1322127
59.992000000000004,2680,1861.36805,1772.66691,0,113.245,1287145
60.003,2553,1989.28028,1838.73567,0,107.03,1226016
59.99,2736,1997.13222,1819.96156,0,114.77,1313979
59.997,2723,1913.36849,1826.61989,0,129.26167,1307798
60.002,2509,1998.88003,1803.74488,0,128.87,1205006
60.002,2249,1964.58564,1886.84118,0,136.22,1080164
60.001000000000005,2602,1955.55927,1865.76573,0,141.96667,1249743
59.995000000000005,2466,1965.25777,1794.85056,0,129.76333,1184337
59.998000000000005,2625,1958.03889,1847.76825,0,135.00833,1260721
60.003,2540,1984.40186,1920.55852,0,134.38167,1219862
59.998000000000005,2643,1929.42207,1842.98607,0,131.085,1269264
59.995000000000005,2378,1932.02922,1804.24173,0,154.62833,1142051
60.004,3035,1966.72973,1822.37788,0,107.40167,1457514
59.994,2603,2002.99567,1886.77877,0,140.52833,1250114
59.994,3026,1928.15939,1797.99148,0,111.45,1453072
59.998000000000005,2373,1879.3211,1770.69682,0,136.65833,1139674
60.003,2567,1940.81153,1808.59131,0,129.32,1232874
59.996,2258,1933.32271,1844.2238,0,142.05,1084496
59.992000000000004,2585,1949.40935,1844.80176,0,130.99167,1241515
59.992000000000004,2330,1903.43701,1844.12918,0,128.14167,1119152
60.003,2505,1937.47111,1834.73299,0,124.00667,1203097
59.995000000000005,2966,1999.52543,1834.25414,0,104.42,1424382
59.992000000000004,2369,1975.47311,1829.2027,0,177.26833,1137886
60,2580,1973.9753,1806.49511,0,123.28,1239122
59.999,2469,1971.86712,1813.40191,0,120.475,1185811
60.003,2557,2000.3574,1816.59382,0,119.33667,1228070
60.001000000000005,2657,1962.49773,1781.8405,0,125.66,1276030
59.995000000000005,2830,2042.84221,1831.33261,0,125.51,1359081
59.998000000000005,2817,1970.57208,1801.07112,0,103.94333,1352859
59.992000000000004,2436,1874.81584,1686.59888,0,181.89833,1169945
59.992000000000004,2398,1884.03829,1765.37386,0,170.75667,1151812
60.001000000000005,2320,1993.53871,1805.15736,0,125.27333,1114215
59.99,2526,1925.32387,1749.18577,0,121.83667,1213238
59.995000000000005,2335,1989.08411,1898.8437,0,136.95833,1121527
59.99,2364,1994.6272,1849.22821,0,141.73833,1135391
59.99,2422,1995.52269,1840.79399,0,145.56,1163248
59.999,2076,1924.26254,1788.36143,0,150.15167,997139
59.994,2530,1948.30073,1873.40493,0,157.095,1215041
60.002,2591,1971.72677,1801.32181,0,138.14667,1244395
60.003,2907,1931.08086,1766.72347,0,131.20833,1396232
59.999,2550,1993.50004,1900.21919,0,137.91333,1224742
59.991,2196,1934.95967,1799.11022,0,136.88,1054806
59.992000000000004,2523,2011.17512,1881.85149,0,132.32,1211784
59.992000000000004,2575,1948.94041,1836.58298,0,109.055,1236651
59.998000000000005,2764,1932.42112,1830.25615,0,105.105,1327367
59.999,2556,1988.7927,1749.10628,0,132.91333,1227412
59.991,2419,1979.90914,1876.5407,0,139.58667,1161819
59.997,2009,1929.57318,1829.29857,0,141.63,965021
59.992000000000004,2760,1989.20183,1843.43988,0,131.25833,1325498
59.998000000000005,2788,1932.26997,1762.66442,0,143.68833,1339019
59.99,2455,1950.30309,1854.07769,0,150.43833,1178987
59.995000000000005,2497,1944.76787,1851.85106,0,149.00333,1199228
60.002,2379,2005.1128,1758.33197,0,154.98833,1142579
59.991,2556,1998.68418,1819.71585,0,157.38,1227527
60.002,2320,1903.74451,1825.89475,0,146.32667,1114392
59.992000000000004,2654,1962.96625,1871.97346,0,124.15667,1274614
60.004,2606,1921.52994,1796.38899,0,156.73,1251511
59.998000000000005,2304,2025.1134,1905.13972,0,128.38,1106656
59.995000000000005,2405,1941.52103,1863.2883,0,146.39333,1155112
60,2630,1838.96227,1712.85318,0,124.51167,1263172
59.996,2563,1955.86574,1826.50087,0,139.73667,1231014
59.994,2223,1937.04148,1860.14081,0,140.335,1067679
60.002,2586,1949.33872,1806.29111,0,140.645,1242027
60.003,2460,1964.02515,1846.19554,0,136.06167,1181484
59.991,2689,1925.89739,1820.60887,0,120.66333,1291321
60.004,2676,1914.9807,1788.1696,0,132.38833,1285186
59.993,2508,1917.0108,1810.62807,0,139.54,1204584
59.996,2402,1958.41983,1785.46924,0,128.09,1153724
59.998000000000005,2642,1999.37187,1852.00023,0,122.915,1268854
60.001000000000005,2841,1883.00685,1792.30441,0,122.20333,1364363
59.993,2462,1992.99986,1859.33543,0,120.49667,1182447
